2025-04-02 10:03:27.500 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:28.285 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:28.286 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:29.213 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:29.214 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:30.160 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:30.161 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:31.421 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:31.421 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:32.193 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:32.195 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:33.278 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:33.278 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:34.286 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:34.287 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:35.322 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:35.333 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:36.118 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:36.119 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:37.269 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:37.269 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:38.208 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:38.208 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:39.099 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:39.099 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:40.122 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:40.123 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:41.160 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:41.160 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:42.166 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:42.167 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:43.165 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
